Username	User handle	Tweet	Date of posting	Text	Retweet count	Like count
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573279654915739648	Fri Sep 23 11:54:34 +0000 2022	"CJI Lalit: We're here to say goodbye sister Banerjee, you've done exceedingly well.
#SupremeCourtOfIndia
#JusticeIndiraBanerjee"	0	14
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573279540365111301	Fri Sep 23 11:54:07 +0000 2022	"CJI Lalit: She has a calm quiet composure. Her contribution has been immense. Even today, people say that last day in CJI's court is supposed to be ceremonial and I asked her how many matters should I place- she said, ""Entire Board"".
#SupremeCourtOfIndia
#JusticeIndiraBanerjee"	2	17
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573279536514756614	Fri Sep 23 11:54:06 +0000 2022	CJI Lalit: If I may consider, I'll place three of her judgements, all Constitution bench- first one pertains to Chattisgarh rent control act, second one pertains to anticipatory bail and third judgement is hot cake, just 3 days back on if larger bench should override smaller	1	7
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573278639097278467	Fri Sep 23 11:50:32 +0000 2022	"CJI Lalit: 20 years of judicial service, untiring, single minded- is a lot. That's the journey sister Banerjee has covered. It's not just what she has covered but how she has covered.
#SupremeCourtOfIndia
#JusticeIndiraBanerjee"	1	14
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573278451569758208	Fri Sep 23 11:49:47 +0000 2022	"CJI Lalit: At the outset I must say that the collegium always picks up the best of the lot. I know everyone of you is more interested in hearing Justice Indira rather than any of us.
#SupremeCourtOfIndia
#JusticeIndiraBanerjee"	1	14
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573273511086686208	Fri Sep 23 11:30:09 +0000 2022	"RT @LiveLawIndia: TOMORROW AT 11AM
 
The 'Third Professor Shamnad Basheer. Memorial Lecture' 

BY

Supreme Court Judge, Dr. Justice Dhananj…"	9	0
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573272993412907008	Fri Sep 23 11:28:06 +0000 2022	Directions To Remove Illegal Banners &amp; Flags Of Political Parties : Kerala High Court Expresses Dismay At Being Accused Of Having Agenda @athira_prasad7 https://t.co/ZqpkCmW9pN	4	11
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573272490494906372	Fri Sep 23 11:26:06 +0000 2022	EWS Quota: Economic Backwardness Temporary, Other Forms Of Backwardness Attached To Lineage: SC [VIDEO] @aaratrika_11,@KundanKulshresh https://t.co/HpGm5NeGFX	5	11
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573272405660819460	Fri Sep 23 11:25:46 +0000 2022	COVID-19: Delhi High Court Allows Unvaccinated Teacher To Resume Duties After AIIMS Says 'At Risk of Allergic Reaction' @nupur_0111 https://t.co/2nVOAsFK0A	4	9
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573271399254327296	Fri Sep 23 11:21:46 +0000 2022	Breaking | Bombay HC Paves Way For Uddhav Thackeray Led Shiv Sena To Hold Dussehra Rally At Shivaji Park, Rejects Shinde Faction's Intervention @CourtUnquote https://t.co/6wQRzAZkSd	11	36
